Kitap ID;Yazar ID;Kitap ID;Dil ID;Sayfa Sayisi;Yayin Tarihi; Satis Adedi ;Satis Tutari
123;151;22;4;411;28.09.2018; 8.559 ; 393.799,59 
124;91;27;4;564;11.10.2001; 1.866 ; 102.536,70 
125;208;25;6;220;15.11.2013; 9.808 ; 529.043,52 
126;63;5;8;534;5.02.2012; 9.210 ; 382.030,80 
127;96;15;7;391;23.01.2001; 4.311 ; 165.326,85 
128;56;6;8;106;2.07.2016; 4.257 ; 206.975,34 
129;82;15;4;326;15.07.2012; 4.909 ; 252.224,42 
130;223;9;4;345;28.12.2017; 4.502 ; 57.850,70 
131;120;8;6;638;31.07.2013; 5.052 ; 56.683,44 
132;19;20;4;239;1.03.2014; 8.438 ; 218.797,34 
133;36;24;4;550;1.01.2007; 3.028 ; 82.240,48 
134;178;26;4;395;8.07.2004; 5.086 ; 45.011,10 
135;6;16;4;533;30.08.2015; 10.164 ; 317.320,08 
136;238;29;4;200;23.05.2017; 7.884 ; 184.012,56 
137;74;18;4;352;15.07.2011; 8.287 ; 121.570,29 
138;32;21;8;239;27.08.2018; 11.469 ; 363.108,54 
139;68;27;4;283;10.09.2011; 8.891 ; 67.215,96 
140;134;20;7;158;1.07.2014; 326 ; 17.868,06 
141;219;7;4;350;27.12.2008; 11.935 ; 506.521,40 
142;228;23;3;245;25.06.2007; 4.515 ; 197.124,90 
143;55;23;7;437;27.05.2012; 5.507 ; 189.881,36 
144;77;3;6;500;28.11.2010; 1.005 ; 9.045,00 
145;173;30;6;563;24.09.2002; 11.784 ; 262.665,36 
146;84;6;4;574;15.08.2001; 7.264 ; 330.221,44 
147;85;27;4;465;9.06.2017; 9.077 ; 339.389,03 
148;145;14;3;456;12.03.2009; 6.516 ; 268.198,56 
149;43;16;5;376;3.08.2014; 436 ; 6.596,68 
150;143;4;3;276;18.02.2019; 3.468 ; 37.558,44 
151;69;9;6;525;14.08.2004; 4.205 ; 137.797,85 
152;22;19;4;398;19.03.2018; 10.852 ; 60.988,24 
153;87;15;11;470;30.07.2009; 8.341 ; 304.529,91 
154;218;27;11;102;20.07.2013; 2.509 ; 129.012,78 
155;91;13;4;136;28.04.2012; 10.369 ; 447.007,59 
156;25;9;6;224;31.10.2006; 11.669 ; 393.945,44 
157;220;12;4;592;11.07.2000; 1.608 ; 21.820,56 
158;131;9;12;593;26.01.2015; 10.246 ; 73.361,36 
159;212;26;4;213;27.06.2011; 4.355 ; 231.773,10 
160;11;1;6;137;1.08.2010; 7.901 ; 413.380,32 
161;207;20;4;549;5.09.2001; 917 ; 39.999,54 
162;12;30;3;194;3.03.2009; 5.390 ; 157.980,90 
163;143;2;4;647;16.06.2012; 7.265 ; 110.428,00 
164;130;10;1;508;31.07.2000; 4.418 ; 169.341,94 
165;203;24;4;301;12.04.2014; 10.497 ; 66.655,95 
166;56;9;4;513;19.03.2009; 624 ; 16.604,64 
167;158;26;4;242;11.05.2005; 6.498 ; 305.146,08 
168;197;13;4;375;24.02.2008; 6.814 ; 103.640,94 
169;22;21;10;383;23.08.2006; 10.920 ; 463.881,60 
170;125;23;4;445;21.02.2006; 10.075 ; 171.174,25 
171;224;7;3;464;30.03.2000; 4.709 ; 35.317,50 
172;177;7;4;123;3.06.2013; 11.950 ; 431.395,00 
173;142;2;2;356;18.02.2017; 2.855 ; 102.580,15 
174;235;24;4;445;4.12.2012; 6.681 ; 52.178,61 
175;196;22;6;595;31.01.2014; 8.643 ; 289.281,21 
176;95;29;10;563;18.09.2010; 9.926 ; 93.502,92 
177;154;18;12;172;24.01.2012; 10.885 ; 598.783,85 
178;173;3;4;224;30.12.2001; 4.792 ; 129.719,44 
179;219;15;3;234;9.10.2014; 869 ; 34.351,57 
180;160;26;1;384;12.03.2004; 8.380 ; 323.635,60 
181;184;12;8;165;28.04.2018; 1.842 ; 24.259,14 
182;131;3;4;157;26.01.2016; 7.066 ; 115.741,08 
183;231;12;2;456;17.10.2000; 9.430 ; 258.570,60 
184;10;28;4;275;24.01.2012; 10.409 ; 289.162,02 
185;179;5;4;452;10.11.2006; 11.190 ; 618.918,90 
186;227;24;1;191;29.12.2006; 11.996 ; 315.614,76 
187;112;3;5;464;2.01.2002; 11.691 ; 173.962,08 
188;3;30;4;477;8.07.2003; 10.640 ; 286.748,00 
189;186;26;6;452;25.06.2004; 5.446 ; 101.676,82 
190;205;27;4;172;16.01.2005; 1.706 ; 59.624,70 
191;116;6;5;142;11.03.2004; 11.673 ; 551.199,06 
192;222;3;1;348;5.06.2019; 6.234 ; 288.447,18 
193;37;8;4;107;6.07.2002; 6.311 ; 191.601,96 
194;187;11;4;518;1.12.2015; 5.728 ; 185.415,36 
195;42;30;6;551;31.12.2000; 9.154 ; 220.428,32 
196;111;30;4;141;11.09.2008; 2.077 ; 47.293,29 
197;30;28;6;292;2.11.2001; 2.544 ; 41.848,80 
198;133;27;4;411;29.04.2019; 2.137 ; 28.764,02 
199;185;29;4;564;9.12.2010; 8.070 ; 403.257,90 
200;235;7;4;401;24.10.2004; 668 ; 29.151,52 
201;165;8;4;339;14.11.2018; 6.418 ; 213.783,58 
202;219;19;4;152;11.08.2009; 11.078 ; 120.750,20 
203;231;22;1;171;18.09.2004; 5.122 ; 96.549,70 
204;165;26;5;622;11.01.2008; 7.484 ; 347.107,92 
205;43;11;10;176;18.08.2014; 11.861 ; 508.836,90 
206;14;9;4;352;3.06.2009; 4.451 ; 162.951,11 
207;67;21;4;553;6.04.2001; 5.430 ; 167.189,70 
208;32;24;10;321;28.03.2018; 817 ; 31.233,91 
209;206;29;4;129;29.09.2003; 5.804 ; 325.198,12 
210;218;12;4;450;4.07.2009; 9.423 ; 114.489,45 
211;152;2;4;210;9.05.2017; 6.055 ; 238.143,15 
212;128;24;7;263;14.09.2000; 2.174 ; 122.983,18 
213;5;4;10;625;23.01.2005; 1.837 ; 28.418,39 
214;173;6;11;366;19.10.2005; 9.104 ; 272.118,56 
215;56;15;4;358;17.06.2007; 2.551 ; 15.203,96 
216;5;1;10;604;25.01.2013; 4.662 ; 172.400,76 
217;4;17;7;394;15.06.2019; 795 ; 28.039,65 
218;8;8;4;142;11.04.2019; 4.542 ; 168.144,84 
219;225;21;1;272;16.07.2012; 8.944 ; 258.302,72 
220;34;6;4;562;29.01.2014; 7.915 ; 189.405,95 
221;226;7;9;350;27.06.2015; 3.135 ; 49.909,20 
222;211;24;8;499;26.03.2018; 6.790 ; 44.202,90 
223;20;1;4;287;26.06.2006; 7.992 ; 445.633,92 
224;143;4;4;247;10.09.2019; 8.621 ; 487.431,34 
225;236;18;8;166;19.04.2001; 4.125 ; 222.585,00 
226;143;19;4;399;5.06.2006; 6.793 ; 245.906,60 
227;240;11;8;307;13.06.2009; 1.222 ; 40.558,18 
228;22;4;2;617;7.05.2007; 3.606 ; 84.236,16 
229;104;27;4;286;5.12.2014; 3.046 ; 149.589,06 
230;144;7;7;236;30.10.2005; 11.393 ; 434.301,16 
231;176;2;6;541;27.12.2010; 7.158 ; 399.989,04 
232;73;17;1;284;26.12.2007; 6.418 ; 279.568,08 
233;51;2;4;352;9.08.2011; 1.305 ; 72.049,05 
234;24;28;8;422;28.03.2017; 11.689 ; 356.046,94 
235;92;19;6;644;7.03.2000; 2.802 ; 79.380,66 
236;132;1;4;631;26.11.2003; 8.890 ; 492.594,90 
237;2;9;6;254;10.09.2015; 8.900 ; 113.119,00 
238;63;8;4;318;19.11.2015; 3.842 ; 119.870,40 
239;9;15;3;130;22.09.2007; 9.088 ; 177.761,28 
240;1;19;4;432;22.02.2005; 4.042 ; 126.716,70 
241;109;21;4;578;14.01.2001; 4.166 ; 44.784,50 
242;59;24;2;615;12.01.2007; 2.540 ; 57.835,80 
243;188;26;6;547;9.12.2019; 10.483 ; 150.955,20 
244;92;10;12;200;10.04.2010; 2.053 ; 31.883,09 
245;75;22;4;401;20.02.2009; 191 ; 2.870,73 
246;7;20;4;276;28.04.2002; 85 ; 832,15 
247;75;22;6;591;24.08.2011; 6.766 ; 382.279,00 
248;125;23;6;301;3.05.2001; 1.270 ; 17.208,50 
249;213;28;4;207;1.03.2006; 9.387 ; 405.518,40 
250;61;8;1;584;19.07.2013; 5.819 ; 47.948,56 
251;114;15;11;523;3.03.2007; 3.182 ; 103.160,44 
252;169;12;4;122;13.04.2004; 4.028 ; 78.505,72 
253;219;1;4;134;22.04.2013; 4.500 ; 118.305,00 
254;121;7;4;399;17.11.2017; 10.099 ; 69.178,15 
255;166;26;6;506;25.04.2007; 3.772 ; 205.460,84 
256;59;6;4;515;6.05.2014; 6.117 ; 37.313,70 
257;79;12;8;616;31.10.2012; 3.189 ; 59.028,39 
258;154;11;6;424;14.07.2007; 2.283 ; 28.035,24 
259;58;1;4;281;14.06.2010; 896 ; 8.413,44 
260;37;23;8;518;30.09.2012; 8.847 ; 405.458,01 
261;7;10;4;553;9.06.2011; 5.701 ; 212.647,30 
262;17;8;4;202;29.05.2012; 2.394 ; 64.183,14 
263;34;3;4;184;23.10.2004; 5.478 ; 157.930,74 
264;156;14;9;366;29.10.2002; 4.256 ; 92.525,44 
265;28;18;6;583;31.05.2001; 3.085 ; 56.640,60 
266;220;16;4;206;21.09.2000; 360 ; 17.334,00 
267;129;5;1;301;16.05.2014; 3.720 ; 187.376,40 
268;92;9;4;238;22.01.2007; 5.319 ; 91.912,32 
269;95;9;5;160;7.10.2011; 5.818 ; 97.975,12 
270;61;10;4;131;6.08.2018; 11.686 ; 108.562,94 
271;89;17;4;276;22.05.2015; 914 ; 40.453,64 
272;73;3;4;212;9.08.2011; 9.626 ; 170.283,94 
273;206;16;4;100;26.12.2001; 3.470 ; 100.734,10 
274;13;8;6;613;4.02.2014; 10.296 ; 250.398,72 
275;31;15;1;636;14.07.2011; 5.093 ; 31.321,95 
276;219;15;4;440;3.07.2001; 8.978 ; 371.240,30 
277;151;22;4;309;3.01.2001; 6.390 ; 75.849,30 
278;72;1;4;355;22.07.2015; 7.249 ; 83.363,50 
279;205;3;4;578;18.12.2011; 1.645 ; 54.564,65 
280;218;19;4;313;21.03.2008; 6.284 ; 243.316,48 
281;173;10;4;249;12.02.2012; 632 ; 20.116,56 
282;117;16;6;325;30.03.2008; 7.521 ; 372.815,97 
283;18;15;4;407;13.09.2019; 10.277 ; 412.210,47 
284;214;1;12;164;1.03.2012; 8.390 ; 383.758,60 
285;159;4;6;361;28.09.2013; 9.691 ; 238.204,78 
286;58;14;4;520;12.07.2019; 11.471 ; 170.688,48 
287;20;11;4;223;16.04.2010; 8.885 ; 84.052,10 
288;73;23;6;150;23.03.2001; 3.703 ; 209.700,89 
289;162;1;6;583;2.11.2005; 7.316 ; 281.446,52 
290;167;5;1;448;17.11.2001; 1.683 ; 9.828,72 
291;181;26;6;304;22.12.2008; 3.892 ; 94.925,88 
292;136;13;4;344;28.07.2000; 11.056 ; 388.397,28 
293;141;7;11;618;21.08.2012; 8.617 ; 245.584,50 
294;66;21;4;188;22.10.2017; 3.821 ; 119.329,83 
295;222;21;6;262;16.10.2009; 7.184 ; 75.719,36 
296;159;14;6;212;30.04.2009; 9.423 ; 189.213,84 
297;144;7;6;505;22.09.2016; 1.008 ; 15.069,60 
298;216;19;4;536;5.02.2011; 1.539 ; 50.309,91 
299;84;13;11;125;14.06.2003; 9.445 ; 142.241,70 
300;10;5;6;184;6.02.2000; 1.068 ; 8.159,52 
301;95;19;8;225;16.08.2004; 4.283 ; 155.815,54 
302;132;6;8;397;11.06.2018; 4.432 ; 190.576,00 
303;210;6;4;424;6.03.2007; 425 ; 17.913,75 
304;72;26;7;288;17.10.2011; 3.628 ; 179.513,44 
305;193;15;11;548;16.06.2015; 9.893 ; 133.951,22 
306;64;29;8;298;19.07.2000; 11.589 ; 618.968,49 
307;215;15;8;534;10.01.2008; 8.509 ; 199.536,05 
308;230;15;4;408;4.12.2014; 9.536 ; 325.654,40 
309;134;26;11;493;31.10.2009; 1.324 ; 53.277,76 
310;48;4;11;415;29.05.2011; 1.755 ; 36.855,00 
311;129;11;4;496;24.04.2018; 371 ; 18.490,64 
312;10;24;7;172;24.02.2000; 8.817 ; 68.155,41 
313;237;8;4;290;13.03.2009; 1.787 ; 64.403,48 
314;200;3;4;413;15.12.2007; 6.297 ; 110.512,35 
315;124;30;4;589;22.06.2002; 1.339 ; 29.391,05 
316;90;9;4;518;15.10.2000; 59 ; 355,77 
317;189;2;6;278;31.10.2004; 427 ; 21.768,46 
318;162;1;4;119;24.10.2009; 1.029 ; 36.899,94 
319;31;9;7;526;9.11.2011; 11.248 ; 102.019,36 
320;58;10;4;401;31.07.2003; 6.660 ; 73.859,40 
321;153;3;3;179;18.03.2018; 10.539 ; 447.907,50 
322;108;25;4;592;1.12.2015; 7.253 ; 165.658,52 
323;234;14;12;209;28.06.2003; 9.280 ; 78.787,20 
324;129;4;4;258;14.09.2010; 4.065 ; 191.624,10 
325;238;13;12;125;19.01.2013; 10.430 ; 368.179,00 
326;21;5;4;381;10.03.2012; 513 ; 15.743,97 
327;14;19;4;189;21.06.2007; 10.743 ; 228.073,89 
328;234;10;4;229;11.05.2007; 2.078 ; 24.998,34 
329;89;14;6;374;16.03.2000; 1.985 ; 102.207,65 
330;25;8;5;112;31.05.2018; 9.038 ; 65.887,02 
331;73;4;6;420;10.03.2002; 6.852 ; 235.982,88 
332;124;14;4;256;27.12.2013; 4.359 ; 83.256,90 
333;60;24;1;540;18.06.2000; 9.707 ; 261.700,72 
334;29;3;10;211;8.09.2002; 8.178 ; 242.968,38 
335;24;21;4;454;25.06.2012; 1.499 ; 18.752,49 
336;184;3;6;524;8.02.2017; 124 ; 5.277,44 
337;229;11;4;455;22.05.2017; 1.859 ; 29.502,33 
338;205;7;4;628;19.02.2001; 7.154 ; 368.860,24 
339;136;2;4;313;20.12.2003; 9.887 ; 58.432,17 
340;162;7;3;396;16.11.2018; 8.776 ; 339.104,64 
341;112;24;4;540;11.08.2018; 10.259 ; 178.916,96 
342;156;15;2;596;9.04.2019; 5.756 ; 265.927,20 
343;73;2;4;114;30.09.2007; 4.724 ; 34.154,52 
344;205;19;4;215;10.03.2018; 2.996 ; 93.325,40 
345;160;12;4;105;2.12.2006; 7.041 ; 191.374,38 
346;159;23;6;196;26.07.2007; 123 ; 2.757,66 
347;65;30;6;250;3.10.2019; 174 ; 5.677,62 
348;90;24;6;451;21.07.2014; 10.177 ; 568.894,30 
349;164;16;4;123;19.08.2019; 6.470 ; 37.461,30 
350;183;28;2;319;5.10.2018; 4.808 ; 174.818,88 
351;29;9;4;311;14.05.2002; 4.878 ; 213.607,62 
352;227;10;3;356;23.06.2000; 5.046 ; 34.666,02 
353;30;25;11;641;17.05.2007; 7.349 ; 414.116,15 
354;44;17;4;170;18.09.2001; 9.789 ; 65.879,97 
355;132;25;10;489;14.06.2011; 8.876 ; 417.260,76 
356;28;1;3;381;20.06.2004; 5.869 ; 80.933,51 
357;229;5;6;106;6.04.2016; 1.726 ; 28.703,38 
358;106;26;4;514;24.07.2019; 97 ; 4.529,90 
359;100;30;8;320;10.02.2001; 7.473 ; 115.457,85 
360;177;17;4;113;17.02.2008; 4.106 ; 62.205,90 
361;150;7;4;534;2.08.2019; 10.590 ; 355.824,00 
362;238;15;4;289;7.07.2013; 8.841 ; 277.784,22 
363;7;13;4;554;18.07.2004; 2.621 ; 115.376,42 
364;234;12;4;362;5.12.2012; 4.691 ; 122.669,65 
365;82;13;4;404;28.06.2006; 7.002 ; 314.249,76 
366;6;15;4;324;6.06.2004; 7.333 ; 262.594,73 
367;33;12;9;393;21.04.2004; 436 ; 3.919,64 
368;7;2;12;628;29.06.2007; 4.768 ; 38.716,16 
369;205;16;4;344;12.07.2004; 7.072 ; 249.288,00 
370;189;1;11;422;2.04.2009; 7.886 ; 351.005,86 
371;77;12;2;189;16.09.2019; 2.893 ; 22.189,31 
372;53;8;4;431;8.01.2005; 10.499 ; 188.352,06 
373;204;6;4;451;19.01.2006; 2.521 ; 58.764,51 
374;63;12;5;301;19.04.2006; 7.413 ; 393.556,17 
375;121;5;5;325;17.07.2014; 10.200 ; 481.644,00 
376;140;21;4;630;6.02.2014; 6.146 ; 267.658,30 
377;169;14;4;399;8.03.2009; 10.046 ; 180.124,78 
378;38;24;10;305;13.01.2017; 3.753 ; 175.190,04 
379;66;14;4;405;10.06.2003; 9.265 ; 450.371,65 
380;222;1;4;498;2.07.2017; 3.663 ; 57.692,25 
381;54;19;4;438;23.07.2019; 10.701 ; 357.199,38 
382;111;2;6;481;22.11.2016; 11.608 ; 159.610,00 
383;78;25;4;299;24.06.2004; 4.175 ; 86.631,25 
384;110;16;4;536;20.06.2010; 10.506 ; 479.073,60 
385;87;19;6;571;25.09.2016; 11.310 ; 147.143,10 
386;237;6;7;467;6.11.2006; 397 ; 11.104,09 
387;189;21;2;285;4.10.2007; 2.600 ; 87.828,00 
388;107;22;4;122;22.11.2006; 10.588 ; 312.451,88 
389;46;6;7;502;20.06.2019; 10.763 ; 554.402,13 
390;38;10;4;284;1.09.2017; 10.455 ; 464.097,45 
391;162;24;10;456;15.02.2001; 10.741 ; 561.002,43 
392;179;29;12;303;19.08.2003; 8.450 ; 234.994,50 
393;49;19;8;582;3.12.2012; 6.591 ; 188.963,97 
394;33;28;4;109;10.12.2006; 11.809 ; 271.843,18 
395;55;30;1;191;13.12.2011; 3.692 ; 75.907,52 
396;163;1;7;194;6.11.2016; 3.861 ; 182.702,52 
397;112;10;3;212;28.10.2008; 7.593 ; 157.402,89 
398;183;21;7;109;13.08.2000; 6.872 ; 280.102,72 
399;89;25;3;538;7.05.2008; 7.454 ; 239.869,72 
400;216;30;3;496;20.04.2003; 1.391 ; 57.601,31 
401;163;27;12;389;16.03.2017; 10.400 ; 404.664,00 
402;62;25;5;584;24.09.2012; 1.967 ; 93.688,21 
403;184;1;12;617;22.03.2009; 1.227 ; 51.546,27 
404;221;27;6;460;17.04.2017; 7.134 ; 323.526,90 
405;7;20;4;171;18.11.2014; 4.521 ; 254.848,77 
406;228;6;4;245;7.06.2001; 579 ; 16.721,52 
407;144;22;4;198;6.07.2007; 3.094 ; 56.310,80 
408;129;10;8;489;2.09.2006; 9.084 ; 387.614,28 
409;145;25;4;319;7.09.2000; 10.591 ; 565.029,85 
410;90;16;4;136;25.06.2009; 2.486 ; 38.085,52 
411;57;10;5;600;16.04.2009; 3.732 ; 79.864,80 
412;233;28;6;555;15.05.2009; 3.829 ; 156.338,07 
413;82;27;6;401;30.06.2015; 5.615 ; 77.992,35 
414;182;5;4;613;17.04.2002; 11.172 ; 545.975,64 
415;217;19;4;405;22.03.2019; 10.940 ; 127.669,80 
416;44;16;4;293;28.01.2005; 7.384 ; 379.685,28 
417;154;12;8;240;10.02.2001; 1.629 ; 87.526,17 
418;58;4;2;374;21.09.2013; 8.513 ; 144.891,26 
419;112;15;6;313;24.02.2000; 2.890 ; 129.356,40 
420;81;14;12;107;28.06.2019; 3.686 ; 38.113,24 
421;16;13;4;557;21.02.2019; 1.208 ; 27.167,92 
422;68;18;4;226;6.01.2005; 9.415 ; 532.889,00 
423;126;4;4;142;23.08.2019; 9.947 ; 403.748,73 
424;52;9;3;273;2.10.2004; 303 ; 15.737,82 
425;198;22;12;483;9.01.2004; 5.338 ; 82.045,06 
426;191;29;4;630;27.12.2009; 5.449 ; 239.429,06 
427;86;5;4;574;17.03.2005; 11.092 ; 493.594,00 
428;183;8;7;180;22.08.2017; 8.758 ; 156.943,36 
429;93;17;4;624;5.11.2017; 9.580 ; 358.675,20 
430;39;18;7;567;17.12.2006; 6.445 ; 61.485,30 
431;56;3;4;303;18.01.2015; 10.049 ; 250.923,53 
432;139;3;6;176;1.12.2010; 6.393 ; 314.024,16 
433;43;29;6;596;8.01.2008; 1.663 ; 89.818,63 
434;145;9;12;455;26.04.2000; 10.270 ; 376.395,50 
435;12;19;4;232;25.07.2004; 4.877 ; 189.032,52 
